,rel_x,rel_y,abs_x,abs_y
0,0,0,0,0
1,11,23,11,23
2,16,17,27,40
3,19,11,46,51
4,22,0,68,51
5,22,0,90,51
6,22,0,112,51
7,22,0,134,51
8,22,0,156,51
9,22,0,178,51
10,22,0,200,51
11,22,0,222,51
12,22,0,244,51
13,22,-2,266,49
14,20,-6,286,43
15,19,-11,305,32
16,15,-17,320,15
17,8,-20,328,-5
18,0,-22,328,-27
19,0,-22,328,-49
20,0,-22,328,-71
21,0,-22,328,-93
22,0,-22,328,-115
23,0,-22,328,-137
24,-2,-22,326,-159
25,-6,-21,320,-180
26,-15,-13,305,-193
27,-16,-16,289,-209
28,-17,-14,272,-223
29,-21,-8,251,-231
30,-22,-6,229,-237
31,-21,-2,208,-239
32,-22,0,186,-239
33,-22,0,164,-239
34,-22,0,142,-239
35,-22,0,120,-239
36,-22,0,98,-239
37,-22,0,76,-239
38,-22,2,54,-237
39,-21,9,33,-228
40,-18,12,15,-216
41,-18,15,-3,-201
42,-13,19,-16,-182
43,-4,22,-20,-160
44,0,22,-20,-138
45,0,22,-20,-116
46,0,22,-20,-94
47,0,22,-20,-72
48,0,22,-20,-50
49,0,22,-20,-28
